Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
LB,81.42,N/A,2.393108523574891,1.0,0.821760787341007,1.0,0.21784164648060966,0.993963782696177,0.08322515037109456,0.9416498993963782,0.9839034205231388
COG,23.01,N/A,0.3432442288977647,0.9456740442655935,0.1887029681680935,0.9637826961770624,0.2612735100281955,0.9959758551307847,0.2504585101090848,1.0,0.9763581488933601
VRTX,300.89,N/A,0.49838017137783264,0.9758551307847082,0.3119659157697889,0.9899396378269617,0.04621545065497634,0.9396378269617707,0.1598570170119341,0.9979879275653922,0.9758551307847082
LLY,339.25,N/A,0.439323266611493,0.9617706237424547,0.28143700378956826,0.9859154929577464,0.07519577099852745,0.9577464788732394,0.11968230340252507,0.9879275653923542,0.9733400402414487
CI,288.13,N/A,0.2186202181030128,0.9054325955734406,0.184783909908228,0.9617706237424547,0.11152630999687885,0.9798792756539235,0.11033773497471017,0.9839034205231388,0.9577464788732394
GIS,76.89,N/A,0.3167757245641325,0.9396378269617707,0.1235376644542414,0.93158953722334,0.08377823753718498,0.9678068410462777,0.11989108474073408,0.9899396378269617,0.9572434607645876
MRK,97.1,N/A,0.261422180454941,0.9235412474849095,0.1759626958243816,0.959758551307847,0.0999744434917465,0.9738430583501005,0.093117624060151,0.9637826961770624,0.9552313883299799
HRB,37.28,N/A,0.6205922257596459,0.9839034205231388,0.6785413171388536,0.9959758551307847,0.391464157116047,1.0,0.042712347046093384,0.8249496981891348,0.9512072434607646
MCK,331.24,N/A,0.7809661984511126,0.993963782696177,0.3018678591808268,0.9879275653923542,0.02582084494487177,0.9114688128772636,0.05132182697147,0.8651911468812876,0.9396378269617706
DLTR,170.38,N/A,0.6943647520654996,0.9879275653923542,0.21939217611746115,0.9738430583501005,0.004151995146928968,0.8772635814889336,0.06625024427291946,0.9074446680080483,0.9366197183098591
DG,255.05,N/A,0.166257999202613,0.8692152917505029,0.11678008454412458,0.9255533199195171,0.05763837823369779,0.9436619718309859,0.09274242044411181,0.9617706237424547,0.9250503018108651
HUM,506.47,N/A,0.07851194541405611,0.7686116700201207,0.2537339367459064,0.9818913480885311,0.08397469165689912,0.9698189134808852,0.10084522000803033,0.9738430583501005,0.9235412474849094
CNC,87.44,N/A,0.194937870799182,0.8893360160965794,0.09265255862158761,0.8973843058350099,0.003724221365351189,0.8752515090543259,0.10036651499358475,0.971830985915493,0.908450704225352
TAP,59,N/A,0.08748266932866494,0.7867203219315896,0.159494564739469,0.9517102615694165,0.07102739623033888,0.9537223340040241,0.07453593588470099,0.9255533199195171,0.9044265593561368
PGR,119.01,N/A,0.23388037921209254,0.9114688128772636,0.1085703351825223,0.9175050301810864,0.01755049149446894,0.8953722334004024,0.06071707179723538,0.8853118712273641,0.9024144869215291
SYY,87.95,N/A,0.16376511381237943,0.8672032193158954,0.11892714374863501,0.9275653923541247,0.025367618797661556,0.9074446680080483,0.06301808571064346,0.8973843058350099,0.8998993963782695
K,74.62,N/A,0.1691168598758614,0.8752515090543259,0.10681785379475,0.9134808853118712,0.07401697331937343,0.9557344064386318,0.04730676444054906,0.8450704225352113,0.89738430583501
NOC,488.91,N/A,0.3055085437322103,0.9356136820925554,0.1996033269036971,0.9678068410462777,0.03295935758475312,0.9215291750503017,0.02622469842651225,0.7505030181086519,0.8938631790744467
PWR,133.57,N/A,0.4850174247185236,0.9698189134808852,0.20050960062441814,0.9698189134808852,-0.01369215231303456,0.8229376257545272,0.0378855848472172,0.8108651911468813,0.8933601609657947
AZO,2217,N/A,0.3881281674752118,0.9557344064386318,0.08332567008180637,0.8832997987927566,0.0007334333954745587,0.8712273641851107,0.04729021311360341,0.8430583501006036,0.8883299798792756
UNH,526.98,N/A,0.2832907787602352,0.93158953722334,0.11137592043901826,0.9215291750503017,-0.03503711709106821,0.7806841046277665,0.07210192706456735,0.9175050301810864,0.8878269617706237
ROL,36.2,N/A,0.05602191456260452,0.7364185110663983,0.11076974319732609,0.9195171026156942,0.04382967227370544,0.93158953722334,0.091534861526783,0.9577464788732394,0.886317907444668
MNST,98.21,N/A,0.07411818518141915,0.7565392354124748,0.02474081295803343,0.8108651911468813,0.1850963731417555,0.9919517102615694,0.11322295459657887,0.9859154929577464,0.886317907444668
CPB,50.47,N/A,0.1147958931884952,0.8148893360160966,0.1010099694198541,0.903420523138833,0.07614660388523409,0.9617706237424547,0.04870655666255001,0.8531187122736418,0.8832997987927566
HSY,226.04,N/A,0.24800739864425284,0.9175050301810864,0.1378327988277088,0.9416498993963782,-0.015897571050869808,0.8189134808853119,0.03393547612666286,0.7907444668008048,0.8672032193158954
CAG,36.9,N/A,0.02212338590871895,0.6921529175050302,0.06825258535041848,0.8631790744466801,0.025981353938764683,0.9134808853118712,0.09353558973774972,0.9657947686116699,0.8586519114688128
LW,74.55,N/A,-0.06292378787846745,0.5533199195171027,0.08837161679203276,0.8953722334004024,0.1375455716853111,0.9859154929577464,0.12158614886170063,0.9919517102615694,0.8566398390342052
IBM,142.64,N/A,0.04622429113049068,0.7263581488933601,0.08742599654324947,0.8913480885311871,0.1327562121319961,0.9839034205231388,0.0368641570078342,0.8048289738430583,0.8516096579476861
ABBV,159.49,N/A,0.3819030049444186,0.9537223340040241,0.14007830543020122,0.9436619718309859,-0.09376549794905119,0.5814889336016097,0.07222758573794771,0.9195171026156942,0.8495975855130784
